 |INFO | 2015-09-16 20:09:31,770| BaseController           | OnActionExecuting             | Method Start ACTION: Login CONTROLLER: Home
 |DEBUG| 2015-09-16 20:09:31,786| HomeController           | Login                         | URLs = 
 |INFO | 2015-09-16 20:09:31,966| BaseController           | OnActionExecuted              | Method End ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:09:31,980| CustomAuthorizeAttribute | OnAuthorization               | Method start
 |INFO | 2015-09-16 20:09:31,980| CustomAuthorizeAttribute | OnAuthorization               | Method end
 |INFO | 2015-09-16 20:09:31,981| BaseController           | OnActionExecuting             | Method Start ACTION: Index CONTROLLER: User
 |DEBUG| 2015-09-16 20:09:32,088| UserController           | Index                         | URL = http://localhost:7979/UserService.svc/Retrieve
 |INFO | 2015-09-16 20:09:32,092| ServiceConsumer          | Get                           | Method Start
 |DEBUG| 2015-09-16 20:09:32,094| ServiceConsumer          | Get                           | url = http://localhost:7979/UserService.svc/Retrieve
 |ERROR| 2015-09-16 20:09:33,822| ServiceConsumer          | Get                           | The remote server returned an error: (500) Internal Server Error.
System.Net.WebException: The remote server returned an error: (500) Internal Server Error.
   at System.Net.HttpWebRequest.GetResponse()
   at Utilities.ServiceConsumer.Get(String url) in C:\Users\Gourav\Documents\Visual Studio 2010\Projects\MVC4 Html Table\UtilityClassLibrary\ServiceConsumer.cs:line 26
 |INFO | 2015-09-16 20:09:33,858| ServiceConsumer          | Get                           | Method End
 |ERROR| 2015-09-16 20:09:33,858| UserController           | Index                         | {
  "ErrorDetail": "Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'queueoverflow'",
  "ErrorInfo": "Unexpected error caused by BusinessAccessLayer"
}
System.Exception: {
  "ErrorDetail": "Authentication to host 'localhost' for user 'root' using method 'mysql_native_password' failed with message: Unknown database 'queueoverflow'",
  "ErrorInfo": "Unexpected error caused by BusinessAccessLayer"
}
   at Utilities.ServiceConsumer.Get(String url) in C:\Users\Gourav\Documents\Visual Studio 2010\Projects\MVC4 Html Table\UtilityClassLibrary\ServiceConsumer.cs:line 59
   at QueueOverflow.Controllers.UserController.Index() in C:\Users\Gourav\Documents\Visual Studio 2010\Projects\MVC4 Html Table\Queue Overflow\Controllers\UserController.cs:line 128
 |INFO | 2015-09-16 20:10:59,866| BaseController           | OnActionExecuted              | Method End ACTION: Index CONTROLLER: User
 |INFO | 2015-09-16 20:10:59,871| BaseController           | OnActionExecuting             | Method Start ACTION: Login CONTROLLER: Home
 |DEBUG| 2015-09-16 20:10:59,872| HomeController           | Login                         | URLs = 
 |INFO | 2015-09-16 20:10:59,872| BaseController           | OnActionExecuted              | Method End ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:10:59,878| CustomAuthorizeAttribute | OnAuthorization               | Method start
 |INFO | 2015-09-16 20:10:59,878| CustomAuthorizeAttribute | OnAuthorization               | Method end
 |INFO | 2015-09-16 20:10:59,878| BaseController           | OnActionExecuting             | Method Start ACTION: Index CONTROLLER: User
 |DEBUG| 2015-09-16 20:10:59,879| UserController           | Index                         | URL = http://localhost:7979/UserService.svc/Retrieve
 |INFO | 2015-09-16 20:10:59,879| ServiceConsumer          | Get                           | Method Start
 |DEBUG| 2015-09-16 20:10:59,885| ServiceConsumer          | Get                           | url = http://localhost:7979/UserService.svc/Retrieve
 |DEBUG| 2015-09-16 20:11:00,228| ServiceConsumer          | Get                           | OK
 |DEBUG| 2015-09-16 20:11:00,229| ServiceConsumer          | Get                           | ResponseFromServer = [{"City":"Bangalore","Dob":"07\/17\/1992","Email":"gourav@leadsquared.com","FullName":"Gourav Goyal","Password":"admin","Phone":"8010822600","UserId":"6c479dce-3adf-4a7a-a124-2b35f30d4ez4","UserName":"admin"}]
 |INFO | 2015-09-16 20:11:00,229| ServiceConsumer          | Get                           | Method End
 |DEBUG| 2015-09-16 20:11:00,230| UserController           | Index                         | ResponseFromServer = [{"City":"Bangalore","Dob":"07\/17\/1992","Email":"gourav@leadsquared.com","FullName":"Gourav Goyal","Password":"admin","Phone":"8010822600","UserId":"6c479dce-3adf-4a7a-a124-2b35f30d4ez4","UserName":"admin"}]
 |DEBUG| 2015-09-16 20:11:00,242| UserController           | Index                         | JsonUser = []
 |INFO | 2015-09-16 20:11:00,243| BaseController           | OnActionExecuted              | Method End ACTION: Index CONTROLLER: User
 |INFO | 2015-09-16 20:11:02,800| BaseController           | OnActionExecuting             | Method Start ACTION: Login CONTROLLER: Home
 |DEBUG| 2015-09-16 20:11:02,802| HomeController           | Login                         | URLs = 
 |INFO | 2015-09-16 20:11:02,803| BaseController           | OnActionExecuted              | Method End ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:11:02,808| CustomAuthorizeAttribute | OnAuthorization               | Method start
 |INFO | 2015-09-16 20:11:02,809| CustomAuthorizeAttribute | OnAuthorization               | Method end
 |INFO | 2015-09-16 20:11:02,809| BaseController           | OnActionExecuting             | Method Start ACTION: Index CONTROLLER: User
 |DEBUG| 2015-09-16 20:11:02,809| UserController           | Index                         | URL = http://localhost:7979/UserService.svc/Retrieve
 |INFO | 2015-09-16 20:11:02,810| ServiceConsumer          | Get                           | Method Start
 |DEBUG| 2015-09-16 20:11:02,810| ServiceConsumer          | Get                           | url = http://localhost:7979/UserService.svc/Retrieve
 |DEBUG| 2015-09-16 20:11:02,821| ServiceConsumer          | Get                           | OK
 |DEBUG| 2015-09-16 20:11:02,822| ServiceConsumer          | Get                           | ResponseFromServer = [{"City":"Bangalore","Dob":"07\/17\/1992","Email":"gourav@leadsquared.com","FullName":"Gourav Goyal","Password":"admin","Phone":"8010822600","UserId":"6c479dce-3adf-4a7a-a124-2b35f30d4ez4","UserName":"admin"}]
 |INFO | 2015-09-16 20:11:02,822| ServiceConsumer          | Get                           | Method End
 |DEBUG| 2015-09-16 20:11:02,822| UserController           | Index                         | ResponseFromServer = [{"City":"Bangalore","Dob":"07\/17\/1992","Email":"gourav@leadsquared.com","FullName":"Gourav Goyal","Password":"admin","Phone":"8010822600","UserId":"6c479dce-3adf-4a7a-a124-2b35f30d4ez4","UserName":"admin"}]
 |DEBUG| 2015-09-16 20:11:02,822| UserController           | Index                         | JsonUser = []
 |INFO | 2015-09-16 20:11:02,823| BaseController           | OnActionExecuted              | Method End ACTION: Index CONTROLLER: User
 |INFO | 2015-09-16 20:14:29,281| BaseController           | OnActionExecuting             | Method Start ACTION: Login CONTROLLER: Home
 |DEBUG| 2015-09-16 20:14:29,297| HomeController           | Login                         | URLs = 
 |INFO | 2015-09-16 20:14:29,334| BaseController           | OnActionExecuted              | Method End ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:14:29,343| CustomAuthorizeAttribute | OnAuthorization               | Method start
 |INFO | 2015-09-16 20:14:29,343| CustomAuthorizeAttribute | OnAuthorization               | Method end
 |INFO | 2015-09-16 20:14:29,343| BaseController           | OnActionExecuting             | Method Start ACTION: Index CONTROLLER: User
 |DEBUG| 2015-09-16 20:14:29,430| UserController           | Index                         | URL = http://localhost:7979/UserService.svc/Retrieve
 |INFO | 2015-09-16 20:14:29,434| ServiceConsumer          | Get                           | Method Start
 |DEBUG| 2015-09-16 20:14:29,436| ServiceConsumer          | Get                           | url = http://localhost:7979/UserService.svc/Retrieve
 |DEBUG| 2015-09-16 20:14:30,821| ServiceConsumer          | Get                           | OK
 |DEBUG| 2015-09-16 20:14:30,821| ServiceConsumer          | Get                           | ResponseFromServer = [{"City":"Bangalore","Dob":"07\/17\/1992","Email":"gourav@leadsquared.com","FullName":"Gourav Goyal","Password":"admin","Phone":"8010822600","UserId":"6c479dce-3adf-4a7a-a124-2b35f30d4ez4","UserName":"admin"}]
 |INFO | 2015-09-16 20:14:30,822| ServiceConsumer          | Get                           | Method End
 |DEBUG| 2015-09-16 20:14:30,822| UserController           | Index                         | ResponseFromServer = [{"City":"Bangalore","Dob":"07\/17\/1992","Email":"gourav@leadsquared.com","FullName":"Gourav Goyal","Password":"admin","Phone":"8010822600","UserId":"6c479dce-3adf-4a7a-a124-2b35f30d4ez4","UserName":"admin"}]
 |DEBUG| 2015-09-16 20:14:30,842| UserController           | Index                         | JsonUser = []
 |INFO | 2015-09-16 20:14:30,842| BaseController           | OnActionExecuted              | Method End ACTION: Index CONTROLLER: User
 |INFO | 2015-09-16 20:14:33,985| BaseController           | OnActionExecuting             | Method Start ACTION: Logout CONTROLLER: Home
 |INFO | 2015-09-16 20:14:33,987| BaseController           | OnActionExecuted              | Method End ACTION: Logout CONTROLLER: Home
 |INFO | 2015-09-16 20:14:34,008| BaseController           | OnActionExecuting             | Method Start ACTION: Login CONTROLLER: Home
 |DEBUG| 2015-09-16 20:14:34,009| HomeController           | Login                         | URLs = 
 |INFO | 2015-09-16 20:14:34,009| BaseController           | OnActionExecuted              | Method End ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:14:40,555| BaseController           | OnActionExecuting             | Method Start ACTION: Login CONTROLLER: Home
 |DEBUG| 2015-09-16 20:14:40,582| HomeController           | Login                         | URL = http://localhost:7979/UserService.svc/RetrieveUser
 |INFO | 2015-09-16 20:14:40,583| LogHelper                | LogMaker                      | Method Start
 |DEBUG| 2015-09-16 20:14:40,592| LogHelper                | LogMaker                      | {"UserId":null,"UserName":"admin","FullName":null,"Phone":null,"Email":null,"City":null,"Dob":null,"Password":"admin"}
 |INFO | 2015-09-16 20:14:40,593| LogHelper                | LogMaker                      | Method End
 |INFO | 2015-09-16 20:14:40,594| ServiceConsumer          | Post                          | Method Start
 |DEBUG| 2015-09-16 20:14:40,594| ServiceConsumer          | Post                          | url = http://localhost:7979/UserService.svc/RetrieveUser
 |INFO | 2015-09-16 20:14:40,594| LogHelper                | LogMaker                      | Method Start
 |DEBUG| 2015-09-16 20:14:40,595| LogHelper                | LogMaker                      | {"UserId":null,"UserName":"admin","FullName":null,"Phone":null,"Email":null,"City":null,"Dob":null,"Password":"admin"}
 |INFO | 2015-09-16 20:14:40,595| LogHelper                | LogMaker                      | Method End
 |DEBUG| 2015-09-16 20:14:40,662| ServiceConsumer          | Post                          | OK
 |DEBUG| 2015-09-16 20:14:40,663| ServiceConsumer          | Post                          | ResponseFromServer = {"City":"Bangalore","Dob":"07\/17\/1992","Email":"gourav@leadsquared.com","FullName":"Gourav Goyal","Password":"admin","Phone":"8010822600","UserId":"6c479dce-3adf-4a7a-a124-2b35f30d4ez4","UserName":"admin"}
 |INFO | 2015-09-16 20:14:40,663| ServiceConsumer          | Post                          | Method End
 |DEBUG| 2015-09-16 20:14:40,663| HomeController           | Login                         | UserDataResponse = {"City":"Bangalore","Dob":"07\/17\/1992","Email":"gourav@leadsquared.com","FullName":"Gourav Goyal","Password":"admin","Phone":"8010822600","UserId":"6c479dce-3adf-4a7a-a124-2b35f30d4ez4","UserName":"admin"}
 |INFO | 2015-09-16 20:14:40,663| LogHelper                | LogMaker                      | Method Start
 |DEBUG| 2015-09-16 20:14:40,663| LogHelper                | LogMaker                      | {"UserId":"6c479dce-3adf-4a7a-a124-2b35f30d4ez4","UserName":"admin","FullName":"Gourav Goyal","Phone":"8010822600","Email":"gourav@leadsquared.com","City":"Bangalore","Dob":"07/17/1992","Password":"admin"}
 |INFO | 2015-09-16 20:14:40,664| LogHelper                | LogMaker                      | Method End
 |DEBUG| 2015-09-16 20:14:40,664| SigninManagement         | SetAuthCookie                 | EncTicket = 3267FB460A3B50682F58306F36FD064AFBA924FA450D9B186F33D15203B8014B08A8F88BF151685DB62B88C739120E6730BECF9B8F94EDB2C11A9950E301F5E8BBB6B9B0290CFD19B5DB2DCB064A2408D7F29ECA8485C62B433A379EEC5071178FF9D0785A7A9DDE44890897A2E2006FE043C97DA626EA5B420A3960407F0F53B11E5741F97A40C2090EE8C86657D57B052547514D0F0058E21B9AF5A8E99C23751299A66AC835FEC5151F439A2BF1DA339A47A51E58867EC16BBD1CBE14862B29032631FE078286699DE3D5E6C6AA9F6AB0257F6B86DB3B2923C2869853B2DFC71F5651CC7DE13D15B8E7B8CE5C4AF07FCAD6C5AA45E29229F463938E075230E0324AEF40F139677C30310F5E439DF7F71D2D3CCE3771AE9F86F96388D8A83D368A23CFA2238C9523EB3652656E558D506EAA2CA09DA275FFA79B953990C52980DBC84873BE727E8B9B96F48A3E4CFA07E80CF9C84434CFCD742274BD76422266C63F20F36C98F24478CA96C25D2E6B766101B634360CE212771A44A14ECC8707E4C9E555E31DC6D673A80920F4227B82FD2481C5A2EFFAE9FC384F1991992E14D375AF6ACE6A97D32A2E48828DA89D788AE0589C4CE9E661FC6B630B4B9F634C007499291609866066B67A422B16A215D0AEC5948465D4D69A05FFB496A7F2D9A5EAA1C3AAA20BDDC0F6FA4817EC5CA01056593B03106882B4F2535B133CB90D03743BDCB0B6E15CE8CC4A1FD406ABAFF454FFA66924D20AD3989511D66A5D
 |INFO | 2015-09-16 20:14:40,665| BaseController           | OnActionExecuted              | Method End ACTION: Login CONTROLLER: Home
 |INFO | 2015-09-16 20:14:40,673| CustomAuthorizeAttribute | OnAuthorization               | Method start
 |INFO | 2015-09-16 20:14:40,673| CustomAuthorizeAttribute | OnAuthorization               | Method end
 |INFO | 2015-09-16 20:14:40,674| BaseController           | OnActionExecuting             | Method Start ACTION: Index CONTROLLER: User
 |DEBUG| 2015-09-16 20:14:40,674| UserController           | Index                         | URL = http://localhost:7979/UserService.svc/Retrieve
 |INFO | 2015-09-16 20:14:40,674| ServiceConsumer          | Get                           | Method Start
 |DEBUG| 2015-09-16 20:14:40,675| ServiceConsumer          | Get                           | url = http://localhost:7979/UserService.svc/Retrieve
 |DEBUG| 2015-09-16 20:14:40,680| ServiceConsumer          | Get                           | OK
 |DEBUG| 2015-09-16 20:14:40,681| ServiceConsumer          | Get                           | ResponseFromServer = [{"City":"Bangalore","Dob":"07\/17\/1992","Email":"gourav@leadsquared.com","FullName":"Gourav Goyal","Password":"admin","Phone":"8010822600","UserId":"6c479dce-3adf-4a7a-a124-2b35f30d4ez4","UserName":"admin"}]
 |INFO | 2015-09-16 20:14:40,681| ServiceConsumer          | Get                           | Method End
 |DEBUG| 2015-09-16 20:14:40,681| UserController           | Index                         | ResponseFromServer = [{"City":"Bangalore","Dob":"07\/17\/1992","Email":"gourav@leadsquared.com","FullName":"Gourav Goyal","Password":"admin","Phone":"8010822600","UserId":"6c479dce-3adf-4a7a-a124-2b35f30d4ez4","UserName":"admin"}]
 |DEBUG| 2015-09-16 20:14:40,681| UserController           | Index                         | JsonUser = []
